"labels","uri","name","type"
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P91_has_unit","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P126i_was_employed_in","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P105_right_held_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P142_used_constituent","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P37i_was_assigned_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#DatatypeProperty""]","http://www.cidoc-crm.org/cidoc-crm/P82_at_some_time_within","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P68_foresees_use_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E85_Joining","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P136i_supported_type_creation","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E98_Currency","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P191i_was_duration_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P195_was_a_presence_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P109i_is_current_or_former_curator_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P13_destroyed","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P111_added","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P111i_was_added_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P25_moved","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P113_removed","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P125i_was_type_of_object_used_in","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#DatatypeProperty""]","http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P94i_was_created_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P109_has_current_or_former_curator","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P8_took_place_on_or_within","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P148i_is_component_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P23i_surrendered_title_through","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E54_Dimension","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P147i_was_curated_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P51i_is_former_or_current_owner_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E87_Curation_Activity","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P152_has_parent","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E96_Purchase","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#DatatypeProperty""]","http://www.cidoc-crm.org/cidoc-crm/P171_at_some_place_within","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P15_was_influenced_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P151_was_formed_from","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P182_ends_before_or_with_the_start_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P151i_participated_in","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P102_has_title","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E7_Activity","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P74i_is_current_or_former_residence_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E99_Product_Type","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E56_Language","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P38i_was_deassigned_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P106i_forms_part_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P30_transferred_custody_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P25i_moved_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P177i_is_type_of_property_assigned","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P110_augmented","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P138_represents","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P99_dissolved","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E25_Human-Made_Feature","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E93_Presence","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P164i_temporally_specifies","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P96_by_mother","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P128_carries","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E5_Event","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P56i_is_found_on","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#DatatypeProperty""]","http://www.cidoc-crm.org/cidoc-crm/P90b_has_upper_value_limit","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P150i_defines_typical_wholes_for","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E66_Formation","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P53i_is_former_or_current_location_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P17i_motivated","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P127i_has_narrower_term","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#DatatypeProperty""]","http://www.cidoc-crm.org/cidoc-crm/P81b_begin_of_the_end","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P184i_ends_with_or_after_the_end_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E63_Beginning_of_Existence","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P93_took_out_of_existence","",""
